tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-3115,Dublin,Grass,32,C,O,20260615,1,GK06,,,Alexis Galarneau,R,180,CAN,27.288,192,306,M0IF,2,,Francesco Maestrelli,R,196,ITA,23.483,111,575,7-6(6) 7-5,3,R32,129,5,3,98,63,45,22,12,11,12,6,1,80,53,43,11,12,4,6
2026-3115,Dublin,Grass,32,C,O,20260615,2,J0AZ,3,,Kyrian Jacquet,R,175,FRA,25.095,146,423,O0A2,,,Gauthier Onclin,R,180,BEL,25.298,183,325,7-6(6) 7-6(4),3,R32,117,8,2,85,47,34,21,12,7,10,1,3,92,50,40,15,12,5,8
2026-3115,Dublin,Grass,32,C,O,20260615,3,M0AW,7,,Nicolas Mejia,R,183,COL,26.341,174,354,FA43,,,Juan Pablo Ficovich,R,188,ARG,29.388,203,284,6-4 4-6 6-3,3,R32,153,4,3,101,65,46,16,15,9,12,2,1,98,59,39,18,14,4,8
2026-3115,Dublin,Grass,32,C,O,20260615,4,S0ZE,,,Colton Smith,R,183,USA,23.28,190,308,C0BH,,,Clement Chidekh,R,180,FRA,25.005,181,336,7-5 2-6 6-3,3,R32,132,6,3,112,72,43,18,15,12,18,1,6,85,53,34,14,14,2,8
2026-3115,Dublin,Grass,32,C,O,20260615,5,R09X,4,,Jurij Rodionov,L,191,AUT,27.083,160,379,V0DG,,,Quinn Vandecasteele,R,191,USA,23.786,454,98,7-6(2) 6-2,3,R32,88,3,4,70,47,33,13,10,1,2,5,5,74,43,27,13,10,3,6
2026-3115,Dublin,Grass,32,C,O,20260615,6,H09F,,,Yu Hsiou Hsu,R,178,TPE,27.203,212,273,L0GH,5,,Mark Lajal,R,191,EST,23.094,158,383,7-6(3) 4-1 RET,3,R32,75,2,0,48,35,31,6,9,0,1,3,2,53,35,24,7,8,3,5
2026-3115,Dublin,Grass,32,C,O,20260615,7,G0G4,,,Conor Gannon,,,IRL,24.025,1244,8,TA46,,,Bernard Tomic,R,196,AUS,33.648,194,305,6-7(4) 6-4 7-6(1),3,R32,173,8,6,118,58,40,33,17,5,9,7,1,125,81,54,20,17,12,17
2026-3115,Dublin,Grass,32,C,O,20260615,8,R0KD,,,Mees Rottgering,L,180,NED,18.94,488,88,B0PD,,,Peter Buldorini,R,183,IRL,21.848,972,19,6-4 6-2,3,R32,78,5,2,55,34,27,12,9,3,3,0,3,52,25,18,11,9,1,4
2026-3115,Dublin,Grass,32,C,O,20260615,9,Z0CQ,,,Yi Zhou,R,193,CHN,21.254,220,263,W0FH,,,Benjamin Willwerth,R,191,USA,18.949,1410,5,6-3 6-7(6) 6-2,3,R32,132,7,1,98,66,43,20,14,2,4,3,0,103,62,35,21,15,7,13
2026-3115,Dublin,Grass,32,C,O,20260615,10,S0TX,,,Henry Searle,L,193,GBR,20.214,405,117,Y218,,,Elias Ymer,R,185,SWE,30.179,176,349,7-6(3) 7-6(5),3,R32,116,4,3,88,50,41,21,12,4,4,2,3,88,57,41,18,12,5,5
